,yearlyavghomeprice,medianhouseholdincome,interestrates,monthlypayment,hai,year
1974,29965.76333,11196.68,0.0076559294875,245.15662548843227,95.1490363362312,1974
1975,32628.75917,11799.94,0.007539262820833333,263.64527855086385,93.24349925193374,1975
1976,35001.96417,12685.08,0.0073882075475,278.261749633395,94.97262931329024,1976
1977,39198.75917,13573.15,0.0073709935899999995,311.045657889534,90.91075575591503,1977
1978,45153.85417,15064.81,0.008034775640833334,384.3561080104739,81.6561001093238,1978
1979,52101.46083,16461.74,0.009336378208333334,504.2085052691313,68.01807448361245,1979
1980,57170.64417,17709.3,0.011451762816666667,665.746605890497,55.41804445349052,1980
1981,60805.04167,19075.08,0.013867924524999999,849.2061653360458,46.79635125384928,1981
1982,62062.43167,20170.91,0.013369711541666664,836.7738994551706,50.21993299985571,1982
1983,63978.57667,20884.39,0.011029487183333332,719.5205969383505,60.46963216684852,1983
1984,66994.265,22414.07,0.011564743591666668,787.3150976067346,59.310407368805976,1984
1985,70858.14333,23617.05,0.010358493591666667,752.4028598947411,65.39340840209358,1985
1986,77119.42417,24897.38,0.008489423075,687.4766899965267,75.44916419919448,1986
1987,84026.56583,26061.18,0.008511163525,750.6777080322277,72.32681138530502,1987
1988,90208.70833,27225.19,0.008618108975,814.5193765581618,69.63510932423254,1988
1989,95739.38833,28907.79,0.008599519233333333,862.866792859894,69.7958978122117,1989
1990,97544.59667,30636.0,0.0084411859,865.3673644211234,73.75480359453461,1990
1991,97209.9875,31241.0,0.007705448718333334,799.4788439941896,81.40980484424138,1991
1992,99647.24333,32264.0,0.006991823899166666,758.4596567583537,88.62259985448638,1992
1993,102058.0717,34076.0,0.006095512820833333,700.6944354554213,101.31615590828137,1993
1994,105469.2733,35492.0,0.0069839743591666665,802.0722206821107,92.1882902312513,1994
1995,108192.4658,37005.0,0.006612179487500001,788.9520307028979,97.71665069587966,1995
1996,111395.42,38885.0,0.006505128204999999,802.3773756856665,100.9629871448453,1996
1997,114568.7408,40696.0,0.006332371795,808.8500827053116,104.81958912554437,1997
1998,120108.8375,41990.0,0.005785534590833333,794.4656546358856,110.11069661250437,1998
1999,127443.84,42228.0,0.006200000000000001,885.8756418116568,99.308521250327,1999
2000,135978.6458,42409.0,0.006711217948333334,1002.8355747470417,88.10226278183194,2000
2001,145396.8892,43318.0,0.0058065705125,964.1951613836138,93.59706099731007,2001
2002,155649.7117,44334.0,0.00544775641,987.6340912309245,93.51894676386195,2002
2003,167566.8858,46326.0,0.00485581761,986.0847792540743,97.87444450061086,2003
2004,183340.5833,48201.0,0.004866025640833334,1080.3410982125035,92.95096721410442,2004
2005,202441.3783,50233.0,0.004888942307500001,1196.447512804802,87.46901323569143,2005
2006,214255.2317,50303.0,0.005344391025833333,1342.041185623349,78.0884504807431,2006
2007,214095.0433,49777.0,0.005281089743333334,1330.4010184166386,77.94798853713533,2007
2008,196694.6408,49276.0,0.005022641509166667,1182.721805564981,86.79837714186212,2008
2009,185199.5617,50054.0,0.004197115385,998.3310447268898,104.45349487773765,2009
2010,179979.0392,51017.0,0.003908173076666666,932.3370907486265,113.99891490032223,2010
2011,172424.5817,51939.0,0.0037065705125,868.3188896981142,124.61579643582294,2011
2012,177195.7767,53585.0,0.003047916666666667,811.3484306974649,137.5924478841979,2012
2013,189527.8375,53657.0,0.0033129807691666666,902.1683285695439,123.90749389740927,2013
2014,198850.7683,56516.0,0.0034740566041666665,968.804612921674,121.53293357221644,2014
2015,209176.4767,59039.0,0.0032088141025,980.7054619176375,125.41779509024124,2015
2016,221058.41,61372.0,0.0030450320516666666,1011.7561908892595,126.37267207720788,2016
2017,234763.2792,61136.0,0.0033248397433333333,1119.416774328763,113.77948730761129,2017
2018,249302.7283,63179.0,0.0037871794875000003,1269.7977707136374,103.65659769011364,2018
2019,262052.8783,68703.0,0.0032798076924999997,1241.3962265859914,115.29860244027842,2019
2020,282680.265,68010.0,0.0025930817608333335,1208.8879110623818,117.20482825862963,2020
2021,329981.33,76330.0,0.00246474359,1383.6965485982155,114.92464405901201,2021
2022,376079.3842,74580.0,0.0044533653850000006,2098.683089248207,74.03452231354215,2022
2023,391167.8775,70784.0,0.0056433333333333335,2542.8304425067263,57.993118299029724,2023
